population,zipcode,State_Name,County,City,Place,Type,Mean,Median,Stdev,Topic_Mortality,Data_Value_Mortality
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,455
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,399.5
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,361.1
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,433.8
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,353.8
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,359.7
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,353.6
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,315.9
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,307.3
1237,36528,Alabama,Mobile County,Dauphin Island,Dauphin Island,Town,77948,67225,54270,Heart Disease Mortality,446.2
1123,36020,Alabama,Elmore County,Coosada,Elmore,Town,46319,40242,38941,Heart Disease Mortality,331.2
1123,36020,Alabama,Elmore County,Coosada,Elmore,Town,46319,40242,38941,Heart Disease Mortality,456.5
7632,35151,Alabama,Talladega County,Sylacauga,Fayetteville,CDP,54807,41712,51359,Heart Disease Mortality,464
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,505.8
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,362.3
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,355.9
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,287.2
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,263.9
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,545.1
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,343.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,290.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,236.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,437
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,374.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,355.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,293.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,514.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,515.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,385.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,324.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,330
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,557.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,402.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,321.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,325.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,436
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,360.8
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,274.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,352.2
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,423.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,299.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,258.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,578.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,382
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,459.6
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,410.7
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,426
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,478.4
10673,36420,Alabama,Covington County,Andalusia,Libertyville,Town,51098,43794,32431,Heart Disease Mortality,512.5
10673,36420,Alabama,Covington County,Andalusia,Libertyville,Town,51098,43794,32431,Heart Disease Mortality,495.6
465,36455,Alabama,Covington County,Lockhart,Lockhart,Town,45465,36849,45634,Heart Disease Mortality,512.5
465,36455,Alabama,Covington County,Lockhart,Lockhart,Town,45465,36849,45634,Heart Disease Mortality,495.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,277.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,315.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,363.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,200.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,322.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,408.5
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,297.1
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,329.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,221.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,422.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,348.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,312.8
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,292.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,365.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,374.1
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,744.8
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,192.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,330.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,392.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,352.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,293.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,395.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,356.4
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,329.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,318.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,398.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,439.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,231.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,444.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,514.9
2901,36750,Alabama,Chilton County,Maplesville,Maplesville,Town,43767,30427,38304,Heart Disease Mortality,537.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,473.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,275.2
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,390.1
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,425.1
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,471.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,434.7
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,480.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,430.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,388.4
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,461.2
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,506.9
1294,36765,Alabama,Hale County,Newbern,Newbern,Town,32466,17389,31851,Heart Disease Mortality,365.6
1294,36765,Alabama,Hale County,Newbern,Newbern,Town,32466,17389,31851,Heart Disease Mortality,479.2
8106,35476,Alabama,Tuscaloosa County,Northport,Northport city,City,62410,54115,47114,Heart Disease Mortality,415.2
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,455
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,399.5
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,361.1
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,433.8
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,353.8
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,359.7
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,353.6
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,315.9
3281,35143,Alabama,Shelby County,Shelby,Shelby,CDP,63758,45844,53244,Heart Disease Mortality,307.3
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,252.7
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,313.6
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,327.8
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,429.2
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,417.8
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,312.4
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,343
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,361.4
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,354.3
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,318.9
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,546.4
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,371.8
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,330.3
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,289.7
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,324.9
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,306.1
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,337.5
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,309.1
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,269.9
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,323.6
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,412.1
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,354.7
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,432.8
5778,35581,Alabama,Franklin County,Phil Campbell,Spruce Pine,CDP,72297,300000,21067,Heart Disease Mortality,528
2702,35148,Alabama,Walker County,Sumiton,Sumiton city,City,51907,39657,46146,Heart Disease Mortality,283.5
2702,35148,Alabama,Walker County,Sumiton,Sumiton city,City,51907,39657,46146,Heart Disease Mortality,595.6
2702,35148,Alabama,Walker County,Sumiton,Sumiton city,City,51907,39657,46146,Heart Disease Mortality,668.2
13179,36078,Alabama,Tallapoosa County,Tallassee,Tallassee city,City,55849,50493,42845,Heart Disease Mortality,436.8
3378,35178,Alabama,St. Clair County,Vincent,Vincent,Town,0,0,0,Heart Disease Mortality,491.5
3378,35178,Alabama,St. Clair County,Vincent,Vincent,Town,0,0,0,Heart Disease Mortality,458.1
3378,35178,Alabama,St. Clair County,Vincent,Vincent,Town,0,0,0,Heart Disease Mortality,349.1
3378,35178,Alabama,St. Clair County,Vincent,Vincent,Town,0,0,0,Heart Disease Mortality,441.3
2630,36850,Alabama,Chambers County,Camp Hill,Waverly,Town,71026,60438,56646,Heart Disease Mortality,366.7
2630,36850,Alabama,Chambers County,Camp Hill,Waverly,Town,71026,60438,56646,Heart Disease Mortality,389.4
2592,36276,Alabama,Chambers County,Wadley,Abanda,CDP,14741,11398,10903,Heart Disease Mortality,366.7
2592,36276,Alabama,Chambers County,Wadley,Abanda,CDP,14741,11398,10903,Heart Disease Mortality,389.4
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,408.4
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,406.5
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,462.5
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,523.9
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,266.9
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,417.9
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,446.8
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,430.2
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,343.6
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,302.4
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,362.3
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,441.4
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,386.4
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,455.3
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,380.8
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,350
1558,35548,Alabama,Marion County,Brilliant,Brilliant,Town,33353,25776,27149,Heart Disease Mortality,570.4
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,455
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,399.5
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,361.1
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,433.8
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,353.8
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,359.7
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,353.6
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,315.9
14965,35040,Alabama,Shelby County,Calera,Calera city,City,65576,64695,38729,Heart Disease Mortality,307.3
9234,35043,Alabama,Autauga County,Chelsea,Autaugaville,Track,78399,71839,54844,Heart Disease Mortality,425
6023,36271,Alabama,Autauga County,Ohatchee,Autaugaville,Track,66000,54091,47663,Heart Disease Mortality,425
3854,36558,Alabama,Autauga County,Millry,Autaugaville,Track,48623,40342,41443,Heart Disease Mortality,425
3597,35541,Alabama,Autauga County,Arley,Autaugaville,Track,49046,36818,42393,Heart Disease Mortality,425
2304,36051,Alabama,Autauga County,Marbury,Autaugaville,Track,59061,300000,36002,Heart Disease Mortality,425
1596,36562,Alabama,Autauga County,Perdido,Autaugaville,Track,55216,43407,52450,Heart Disease Mortality,425
19090,36507,Alabama,Autauga County,Bay Minette,Autaugaville,Track,36474,24377,31702,Heart Disease Mortality,425
27890,36526,Alabama,Autauga County,Daphne,Autaugaville,Track,107603,97539,63498,Heart Disease Mortality,425
8258,36551,Alabama,Autauga County,Loxley,Autaugaville,Track,50583,41882,37860,Heart Disease Mortality,425
27829,36532,Alabama,Autauga County,Fairhope,Autaugaville,Track,67864,52050,64026,Heart Disease Mortality,425
5150,36016,Alabama,Autauga County,Clayton,Autaugaville,Track,56947,45615,47083,Heart Disease Mortality,425
16261,36027,Alabama,Autauga County,Eufaula,Autaugaville,Track,43222,26304,47072,Heart Disease Mortality,425
15570,35121,Alabama,Autauga County,Oneonta,Autaugaville,Track,34855,32407,21562,Heart Disease Mortality,425
2417,36908,Alabama,Autauga County,Gilbertown,Autaugaville,Track,53998,39956,48887,Heart Disease Mortality,425
7933,35031,Alabama,Autauga County,Blountsville,Autaugaville,Track,47717,30660,46395,Heart Disease Mortality,425
8810,35079,Alabama,Autauga County,Hayden,Autaugaville,Track,58684,47284,39926,Heart Disease Mortality,425
8760,36089,Alabama,Autauga County,Union Springs,Autaugaville,Track,30765,25206,26768,Heart Disease Mortality,425
14074,36037,Alabama,Autauga County,Greenville,Autaugaville,Track,30564,21911,23037,Heart Disease Mortality,425
1820,36456,Alabama,Autauga County,Mckenzie,Autaugaville,Track,36333,27877,29844,Heart Disease Mortality,425
13389,36272,Alabama,Autauga County,Piedmont,Autaugaville,Track,35282,27332,29556,Heart Disease Mortality,425
6623,36862,Alabama,Autauga County,Lafayette,Autaugaville,Track,45966,300000,34017,Heart Disease Mortality,425
3738,35983,Alabama,Autauga County,Sand Rock,Autaugaville,Track,57239,43170,47243,Heart Disease Mortality,425
8933,35085,Alabama,Autauga County,Jemison,Autaugaville,Track,40648,33316,32761,Heart Disease Mortality,425
3648,36091,Alabama,Autauga County,Verbena,Autaugaville,Track,67265,46110,59481,Heart Disease Mortality,425
4098,36904,Alabama,Autauga County,Butler,Autaugaville,Track,55952,40705,54619,Heart Disease Mortality,425
7754,36784,Alabama,Autauga County,Thomasville,Autaugaville,Track,40451,36477,28494,Heart Disease Mortality,425
4977,36451,Alabama,Autauga County,Grove Hill,Autaugaville,Track,50714,38228,55570,Heart Disease Mortality,425
5103,36251,Alabama,Autauga County,Ashland,Autaugaville,Track,44628,35064,33198,Heart Disease Mortality,425
8659,36264,Alabama,Autauga County,Heflin,Autaugaville,Track,31459,25199,32837,Heart Disease Mortality,425
2198,36453,Alabama,Autauga County,Kinston,Autaugaville,Track,46792,30746,46019,Heart Disease Mortality,425
4635,35646,Alabama,Autauga County,Leighton,Autaugaville,Track,51460,38525,36757,Heart Disease Mortality,425
2420,36432,Alabama,Autauga County,Castleberry,Autaugaville,Track,31633,28982,24289,Heart Disease Mortality,425
5706,36049,Alabama,Autauga County,Luverne,Autaugaville,Track,40683,28886,35812,Heart Disease Mortality,425
2117,35019,Alabama,Autauga County,Baileyton,Autaugaville,Track,61900,65528,43897,Heart Disease Mortality,425
265,35070,Alabama,Autauga County,Garden City,Autaugaville,Track,43726,28444,38686,Heart Disease Mortality,425
4637,36362,Alabama,Autauga County,Ft Rucker,Autaugaville,Track,68310,59974,38238,Heart Disease Mortality,425
8314,36401,Alabama,Autauga County,Evergreen,Autaugaville,Track,34206,16878,39063,Heart Disease Mortality,425
9072,36322,Alabama,Autauga County,Daleville,Autaugaville,Track,58239,61815,49004,Heart Disease Mortality,425
6540,36350,Alabama,Autauga County,Midland City,Autaugaville,Track,42703,33772,31328,Heart Disease Mortality,425
13643,36703,Alabama,Autauga County,Selma,Autaugaville,Track,65458,45588,47564,Heart Disease Mortality,425
2012,36767,Alabama,Autauga County,Orrville,Autaugaville,Track,30567,20489,27688,Heart Disease Mortality,425
4914,35971,Alabama,Autauga County,Fyffe,Autaugaville,Track,41338,40569,19063,Heart Disease Mortality,425
8300,35962,Alabama,Autauga County,Crossville,Autaugaville,Track,50821,54135,34788,Heart Disease Mortality,425
20274,36092,Alabama,Autauga County,Wetumpka,Autaugaville,Track,81059,49903,70277,Heart Disease Mortality,425
15066,36054,Alabama,Autauga County,Millbrook,Autaugaville,Track,57221,48383,41222,Heart Disease Mortality,425
1318,36041,Alabama,Autauga County,Highland Home,Autaugaville,Track,51077,47797,40234,Heart Disease Mortality,425
9897,35906,Alabama,Autauga County,Rainbow City,Autaugaville,Track,50735,39380,40435,Heart Disease Mortality,425
3901,35546,Alabama,Autauga County,Berry,Autaugaville,Track,54116,32380,54325,Heart Disease Mortality,425
11150,35653,Alabama,Autauga County,Russellville,Autaugaville,Track,78787,48388,70841,Heart Disease Mortality,425
1931,35593,Alabama,Autauga County,Vina,Autaugaville,Track,37300,300000,28404,Heart Disease Mortality,425
4946,36477,Alabama,Autauga County,Samson,Autaugaville,Track,37651,27315,36312,Heart Disease Mortality,425
7390,36375,Alabama,Autauga County,Slocomb,Autaugaville,Track,53395,42052,42981,Heart Disease Mortality,425
2388,39851,Alabama,Autauga County,Fort Gaines,Autaugaville,Track,47014,41328,37305,Heart Disease Mortality,425
4885,36352,Alabama,Autauga County,Newton,Autaugaville,Track,69416,53258,59746,Heart Disease Mortality,425
2445,36376,Alabama,Autauga County,Webb,Autaugaville,Track,49175,37902,46107,Heart Disease Mortality,425
6187,36312,Alabama,Autauga County,Ashford,Autaugaville,Track,54235,42227,43566,Heart Disease Mortality,425
1398,35979,Alabama,Autauga County,Higdon,Autaugaville,Track,77322,45128,78600,Heart Disease Mortality,425
4908,35772,Alabama,Autauga County,Stevenson,Autaugaville,Track,31235,21391,27591,Heart Disease Mortality,425
7884,35222,Alabama,Autauga County,Birmingham,Autaugaville,Track,51831,34771,48141,Heart Disease Mortality,425
19686,35205,Alabama,Autauga County,Birmingham,Autaugaville,Track,28327,23929,18744,Heart Disease Mortality,425
4143,36576,Alabama,Autauga County,Silverhill,Autaugaville,Track,53701,44265,42398,Heart Disease Mortality,425
2719,35091,Alabama,Autauga County,Kimberly,Autaugaville,Track,80998,70230,58272,Heart Disease Mortality,425
5367,35117,Alabama,Autauga County,Mount Olive,Autaugaville,Track,74951,65918,49663,Heart Disease Mortality,425
10099,35127,Alabama,Autauga County,Pleasant Grove,Autaugaville,Track,90511,73076,57912,Heart Disease Mortality,425
7942,35005,Alabama,Autauga County,Adamsville,Autaugaville,Track,53383,47460,34172,Heart Disease Mortality,425
36408,35216,Alabama,Autauga County,Vestavia Hills,Autaugaville,Track,79077,39607,80856,Heart Disease Mortality,425
4834,35221,Alabama,Autauga County,Birmingham,Autaugaville,Track,31871,21950,27401,Heart Disease Mortality,425
16140,35111,Alabama,Autauga County,Mccalla,Autaugaville,Track,90324,88210,53865,Heart Disease Mortality,425
19089,36066,Alabama,Autauga County,Prattville,Autaugaville,Track,54523,41056,42264,Heart Disease Mortality,425
4664,35592,Alabama,Autauga County,Vernon,Autaugaville,Track,48082,14259,58691,Heart Disease Mortality,425
20877,35633,Alabama,Autauga County,Florence,Autaugaville,Track,58520,53758,32706,Heart Disease Mortality,425
14060,35645,Alabama,Autauga County,Killen,Autaugaville,Track,85950,62159,60426,Heart Disease Mortality,425
8190,35652,Alabama,Autauga County,Rogersville,Autaugaville,Track,53050,39930,53937,Heart Disease Mortality,425
6445,35672,Alabama,Autauga County,Town Creek,Autaugaville,Track,49453,30636,36144,Heart Disease Mortality,425
1312,35651,Alabama,Autauga County,Mt Hope,Autaugaville,Track,49474,34122,46748,Heart Disease Mortality,425
7901,36874,Alabama,Autauga County,Salem,Autaugaville,Track,56743,51524,41271,Heart Disease Mortality,425
8868,35620,Alabama,Autauga County,Elkmont,Autaugaville,Track,52624,47441,40626,Heart Disease Mortality,425
2339,36032,Alabama,Autauga County,Fort Deposit,Autaugaville,Track,63560,52781,51846,Heart Disease Mortality,425
4767,36088,Alabama,Autauga County,Tuskegee Institute,Autaugaville,Track,50328,36023,42007,Heart Disease Mortality,425
2226,36075,Alabama,Autauga County,Shorter,Autaugaville,Track,43995,35431,36578,Heart Disease Mortality,425
22498,35805,Alabama,Autauga County,Huntsville,Autaugaville,Track,37494,22507,45377,Heart Disease Mortality,425
20575,35749,Alabama,Autauga County,Harvest,Autaugaville,Track,80729,69225,55309,Heart Disease Mortality,425
14216,35763,Alabama,Autauga County,Owens Cross Roads,Autaugaville,Track,65716,49914,49851,Heart Disease Mortality,425
11145,35570,Alabama,Autauga County,Hamilton,Autaugaville,Track,50049,32935,57865,Heart Disease Mortality,425
