Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Darae's Salon & Spa,3389 Minnesota Dr,Anchorage,AK,Anchorage,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,99503
Tubhouse & Tanning,224 N Yenlo St Ste S4,Wasilla,AK,Matanuska Susitna,10 To 19,"$500,000 To $1 Million",Physical Fitness Facilities,99654
Apex Gym,11724 Seward Hwy Ste A,Seward,AK,Kenai Peninsula,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99664
Salon 907,11806 Glacier Hwy Ste 1g,Juneau,AK,Juneau,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99801
Rock Dump Indoor Climbing Gym,1310 Eastaugh Way,Juneau,AK,Juneau,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99801
Phase Iv,610 Clay St,Montgomery,AL,Montgomery,1 To 10,"$500,000 To $1 Million",Physical Fitness Facilities,36104
Healthsouth Corp,3715 Us Highway 431 N,Phenix City,AL,Russell,1 To 10,Unknown,Fitness & Recreational Sports Centers,36867
Nail Star,106 6th St S Ste C,Oneonta,AL,Blount,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35121
Snap Fitness,5104 Old Springville Rd,Pinson,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35126
Snap Fitness,2401 Stemley Bridge Rd Ste 4,Pell City,AL,Saint Clair,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35128
Total Image,4292 Highway 280,Harpersville,AL,Shelby,1 To 10,"Less Than $500,000",Physical Fitness Ct,35078
Snap Fitness,301 Airport Commons Dr,Calera,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35040
Snap Fitness,20 Chelsea Cors,Chelsea,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35043
Court House Racquet Club,2460 Mall Rd,Florence,AL,Lauderdale,1 To 10,"Less Than $500,000",Physical Fitness Ct,35630
Anytime Fitness,1601 Darby Dr,Florence,AL,Lauderdale,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35630
Studio Fitness Llc,1601 Richard Arrington Jr Blvd S,Birmingham,AL,Jefferson,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,35205
Oyama Karate,1804 29th Ave S,Homewood,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35209
Birmingham Venture Club,2019 4th Ave N,Birmingham,AL,Jefferson,1 To 10,Unknown,Health Club,35203
Rock Fitness Ctr,3158 Highway 20 Bldg 1,Decatur,AL,Morgan,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35601
Decatur Athletic Club Inc,219 2nd Ave Se,Decatur,AL,Morgan,1 To 10,Unknown,Health Club,35601
Snap Fitness,7402 Highway 69 S Ste E,Tuscaloosa,AL,Tuscaloosa,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35405
One Nineteen Health  Wellness,7191 Cahaba Valley Rd,Birmingham,AL,Shelby,1 To 10,$1 To 2.5 Million,Fitness & Recreational Sports Centers,35242
Ross Bridge Golf Resorts & Spa,4000 Grand Ave,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35226
Fitness South,6551 Highway 69 S Ste A,Tuscaloosa,AL,Tuscaloosa,1 To 10,"Less Than $500,000",Physical Fitness Ct,35405
Birmingham Ymca Child Care,1195 Bessemer Rd,Birmingham,AL,Jefferson,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,35228
Riviera Fitness Ctr,161 Bessemer Super Hwy,Midfield,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35228
24/7 Health Club  Wellness,3490 Harris Hill Blvd Ne,Huntsville,AL,Madison,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35811
Fairhope Fitness 24 Llc,54 N Section St,Fairhope,AL,Baldwin,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,36532
Ymca,761 S Perry St,Montgomery,AL,Montgomery,10 To 19,Unknown,Fitness & Recreational Sports Centers,36104
Ymca,2435 Bell Rd,Montgomery,AL,Montgomery,10 To 19,Unknown,Fitness & Recreational Sports Centers,36117
Walt's 24 Hour Fitness Ctr,102 Montgomery St,Troy,AL,Pike,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36081
B P Fitness Llc,102 S Main St,Wetumpka,AL,Elmore,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36092
Stewart House,7000 Al Highway 101,Town Creek,AL,Lawrence,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35672
Planet Fitness,3530 Eastdale Mall Anx,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36117
Curves,1112 Boll Weevil Cir Ste E,Enterprise,AL,Coffee,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36330
Jason's Fitness,3724 Cottage Hill Rd,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36609
Blast Fitness,720 Oak Circle Dr E Ste 100,Mobile,AL,Mobile,1 To 10,$1 To 2.5 Million,Fitness & Recreational Sports Centers,36609
Yw Homes Inc,309 23rd St N,Birmingham,AL,Jefferson,1 To 10,$1 To 2.5 Million,Physical Fitness Facilities,35203
Positive Fitness,4643 Camp Coleman Rd Ste 105,Trussville,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35173
Chilton County High School,1214 7th St S,Clanton,AL,Chilton,10 To 19,Unknown,Physical Fitness Clubs With Training Equipment,35045
Fitness 2000,1100 Greenwood Xing,Bessemer,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35022
Fight Zone,2423 Old Huntsville Hwy Nw,Arab,AL,Marshall,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35016
Total Body Fitness,10640 Us Highway 78,Riverside,AL,Saint Clair,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35135
Houliang Massage,476 Cahaba Park Cir,Birmingham,AL,Shelby,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35242
Humphries Farm Turf Supply,6604 Walt Dr,Birmingham,AL,Shelby,1 To 10,$2.5 To 5 Million,Physical Fitness Facilities,35242
Fitness Together,8000 Liberty Pkwy Ste 108,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35242
Gold's Gym,2244a Pelham Pkwy,Pelham,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35124
Cowboy Cheerleading Ctr,1811 Mccain Pkwy,Pelham,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35124
"Holman Iii, Wilton R Md",5295 Preserve Pkwy Ste 110,Hoover,AL,Jefferson,1 To 10,"$500,000 To $1 Million",Physical Fitness Facilities,35244
Jewish Community Ctr,3960 Montclair Rd,Birmingham,AL,Jefferson,50 To 99,Unknown,Physical Fitness Clubs With Training Equipment,35213
Gold's Gym,1090 Montgomery Hwy,Vestavia Hills,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35216
Studio Specialized Personal,115 Office Park Dr,Mountain Brk,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35223
Riviera Fitness Ctr,372 Palisades Blvd # 24,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35209
Athletic Club Alabama,2100 Members Dr Sw,Huntsville,AL,Madison,10 To 19,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35802
Fitness One,1325 Mcfarland Blvd Lbby,Northport,AL,Tuscaloosa,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35476
Planet Fitness,1839 Montgomery Hwy Ste C,Hoover,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35244
Bailey's Tiger Rock Martial,1000 13th St E,Tuscaloosa,AL,Tuscaloosa,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35404
Fitness Together,5361 Highway 280 Ste 102,Birmingham,AL,Shelby,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35242
Next Total Fitness,3447 Loma Rd,Hoover,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35226
Dynamic Fitness,355 Mitch Ave,Tuscumbia,AL,Colbert,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35674
Jazzercise,1606 Alaca Pl,Tuscaloosa,AL,Tuscaloosa,1 To 10,"Less Than $500,000",Exercise Facilities,35401
"Pitts, Kenneth E Md",7703 Donegal Dr Se,Huntsville,AL,Madison,1 To 10,"$500,000 To $1 Million",Physical Fitness Facilities,35802
Fit For Life,202 Andrew Jackson Way Ne,Huntsville,AL,Madison,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,35801
Absolute Fitness,115 W Grand Ave Ste 50,Rainbow City,AL,Etowah,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,35906
Ladies Riviera Fitns Ctr-Mdsn,7917 Highway 72 W,Madison,AL,Madison,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35758
Gold's Gym,2300 Berryhill Rd,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36117
Athletic Club,3908 Highway 431,Roanoke,AL,Randolph,1 To 10,"Less Than $500,000",Physical Fitness Facilities,36274
Anniston Family Fitness Ctr,2407 Us Highway 431,Anniston,AL,Calhoun,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,36206
Planet Fitness,5363 Highway 90 W Ste B,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Physical Fitness Facilities,36619
Planet Gymnastics,900 Schillinger Rd S,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36695
Anytime Fitness,9120 Airport Blvd Ste F,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36608
Planet Fitness,308 S University Blvd,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36609
"Mc Bride, Mark B",1711 College Ave,Jackson,AL,Clarke,1 To 10,"Less Than $500,000",Physical Fitness Facilities,36545
Pure Barre,1802 Us Highway 98 Ste D,Daphne,AL,Baldwin,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36526
