Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Gold's Gym,9181 Glades Rd,Boca Raton,FL,Palm Beach,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,33434
Expert Massage Therapy Of Fl,4633 Pine Grove Dr,Delray Beach,FL,Palm Beach,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33445
Curves,Po Box 6942,Delray Beach,FL,Palm Beach,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33482
Avenue Pilates,2100 N Federal Hwy,Delray Beach,FL,Palm Beach,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33483
Ultimate Athletes Inc,6850 Nw 2nd Ave,Boca Raton,FL,Palm Beach,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33487
Skin Apeel Day Spa,21301 Powerline Rd Ste 215,Boca Raton,FL,Palm Beach,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,33433
Anytime Fitness,17765 Gunn Hwy,Odessa,FL,Hillsborough,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33556
Gold's Gym,201 N Us Highway 1 Ste C6,Jupiter,FL,Palm Beach,50 To 99,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,33477
Divine Designs Salon & Spa,1606 Oakfield Dr # 103,Brandon,FL,Hillsborough,50 To 99,$1 To 2.5 Million,Spas,33511
Lady Of America Fitness Ctr,10621 Tucker Jones Rd,Riverview,FL,Hillsborough,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33578
Robz Fitness,3438 Lithia Pinecrest Rd,Valrico,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33596
Powerhouse Gym,3251a W Hillsborough Ave,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33614
Shapes Total Fitness,731 W Lumsden Rd,Brandon,FL,Hillsborough,1 To 10,"Less Than $500,000",Health Club,33511
Police Athletic League,1924 W Diana St,Tampa,FL,Hillsborough,1 To 10,Unknown,"Athletic Club And Gymnasiums, Membership",33604
Wave Pilates,620 S Macdill Ave Ste A,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33609
Curves,1822 James L Redman Pkwy,Plant City,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33563
Harbour Island Athletic Club,900 S Harbour Island Blvd,Tampa,FL,Hillsborough,100 To 249,$2.5 To 5 Million,Health Clubs Studios & Gymnasiums,33602
Athletes Fitness Ctr,13539 N Florida Ave,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33613
Pilates By Dena,4320 W Gandy Blvd,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33611
Media Factory,406 S Del Mabry Blvd # 379,Tampa,FL,Hillsborough,1 To 10,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,33609
Cross Fit Tampa,467 Cypress Lake Ct,Oldsmar,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34677
Gold's Gym,3689 W Waters Ave,Tampa,FL,Hillsborough,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,33614
Anytime Fitness,11113 N Dale Mabry Hwy,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33618
Shapes Family Fitness Inc,14608 N Dale Mabry Hwy # 27408,Tampa,FL,Hillsborough,20 To 49,$1 To 2.5 Million,Health Club,33618
Snap Fitness,12611 Race Track Rd,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33626
Anytime Fitness,9602 W Linebaugh Ave,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33626
Shapes Family Fitness,11301 N 56th St Ste 5,Tampa,FL,Hillsborough,50 To 99,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,33617
Curves,10939 N 56th St,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33617
Ajm Health & Fitness,11730 N Dale Mabry Hwy,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33618
Betterfit Personal Training,2605 S Macdill Ave,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33629
Core,4243 Henderson Blvd,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33629
Shapes Total Fitness,5651 38th Ave N,St Petersburg,FL,Pinellas,20 To 49,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,33710
Shapes Total Fitness,10051 W Hillsborough Ave,Tampa,FL,Hillsborough,10 To 19,"$500,000 To $1 Million",Health Club,33615
Lyle Bleachers Inc,Po Box 579,San Antonio,FL,Pasco,1 To 10,"Less Than $500,000",Gymnasiums,33576
Aap Fitness,10335 Cross Creek Blvd Ste H,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33647
Vip Massages,14280 Walsingham Rd,Largo,FL,Pinellas,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33774
Curves,1488 S Belcher Rd,Clearwater,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33764
Gold's Gym,203 38th Ave N,St Petersburg,FL,Pinellas,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,33704
Carillon Wellness Ctr,900 Carillon Pkwy Ste 100,St Petersburg,FL,Pinellas,20 To 49,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,33716
Student Debt Relief,1755 17th St S,St Petersburg,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33712
Shapes Total Fitness,7570 Starkey Rd,Seminole,FL,Pinellas,20 To 49,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,33777
Healthworks,235 Newbury Pl N,Saint Petersburg,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33716
Lifestyle Family Fitness,7706 University Blvd,Winter Park,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32792
Gold's Gym,8540 Dayton Ave,Fort Myers,FL,Lee,20 To 49,$1 To 2.5 Million,Gymnasiums,33907
Curves,12377 S Cleveland Ave Ste 15,Fort Myers,FL,Lee,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33907
Curves,711 Avenue L Nw,Winter Haven,FL,Polk,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33881
Spencer & Assoc Arch,1215 S Myrtle Ave,Clearwater,FL,Pinellas,1 To 10,"Less Than $500,000",Health Spas,33756
Anytime Fitness,6928 S Florida Ave,Lakeland,FL,Polk,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33813
Massage Center-Clearwater,754 N Belcher Rd,Clearwater,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33765
Target Pharmacy,2747 Gulf To Bay Blvd,Clearwater,FL,Pinellas,10 To 19,$2.5 To 5 Million,Health Clubs Studios & Gymnasiums,33759
Curves,50 Maxcy Plaza Cir,Haines City,FL,Polk,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33844
Fitness Together,9671 Gladiolus Dr Ste 108,Fort Myers,FL,Lee,1 To 10,"Less Than $500,000",Personal Trainers-Fitness,33908
Mobile Fitness & Instruction,11929 79th Ave,Seminole,FL,Pinellas,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33772
Hardcore Fitness Ctr,6421 66th St N,Pinellas Park,FL,Pinellas,1 To 10,Unknown,Health Clubs Studios & Gymnasiums,33781
Anytime Fitness,1315 Cape Coral Pkwy E,Cape Coral,FL,Lee,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,33904
Merritt Defense Law,2740 Bayshore Dr Ste 15,Naples,FL,Collier,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34112
Addicted To Fitness,337 Airport Pulling Rd N,Naples,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34104
Total Athletic Performance,4995 Airport Pulling Rd N,Naples,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34105
Fort Myers Fitness,12700 Vista Pine Cir,Fort Myers,FL,Lee,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33913
Fitness Together,335 14th Ave S,Naples,FL,Collier,1 To 10,"Less Than $500,000",Physical Fitness Facilities,34102
Curves,17753 Toledo Blade Blvd Unit B2,Pt Charlotte,FL,Charlotte,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33948
Snap Fitness,701 J C Center Ct Unit 17,Pt Charlotte,FL,Charlotte,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33954
Hammerhead Beach Gym,3051 Estero Blvd,Fort Myers Beach,FL,Lee,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,33931
Gasparilla Inn & Club,500 Palm Ave,Boca Grande,FL,Lee,250 To 499,$20 To 50 Million,Health Spas,33921
Curves,12366 N Access Rd Unit 4,Pt Charlotte,FL,Charlotte,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33981
Jenneration Wellness,2828 S Mccall Rd,Englewood,FL,Charlotte,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34224
Baby Boot Camp,2632 Orange Grove Trl,Naples,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34120
Fitness Together,2500 Vanderbilt Beach Rd Ste 1106 # 110,Naples,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34109
Nch Briggs Wellness Ctr,399 Tamiami Trl N Ste 101,Naples,FL,Collier,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,34102
Waterside Shops,5415 Tamiami Trl N,Naples,FL,Collier,1 To 10,$1 To 2.5 Million,Fitness & Recreational Sports Centers,34108
Play Away,11538 Palmbrush Trl,Bradenton,FL,Manatee,1 To 10,"Less Than $500,000",Children's Fitness,34202
Curves,489 S Indiana Ave,Englewood,FL,Sarasota,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34223
Cross Fit Real Fitness,2650 Immokalee Rd Ste 3,Naples,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34110
Marco Fitness Club,871 E Elkcam Cir,Marco Island,FL,Collier,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34145
Mandala Medispa M D,1715 Stickney Point Rd Ste B1,Sarasota,FL,Sarasota,1 To 10,"Less Than $500,000",Spas,34231
Jabz Health & Fitness,515 West Pl,Naples,FL,Collier,10 To 19,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34108
Shapes Fitness For Women,7134 Cortez Rd W,Bradenton,FL,Manatee,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34210
In Motion Physical Therapy,24850 Old 41 Rd Ste 17,Bonita Springs,FL,Lee,10 To 19,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34135
South Venice Fitness Ctr,2203 Tamiami Trl S,Venice,FL,Sarasota,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34293
Specialty Products & Mktng Inc,2620 Manatee Ave W,Bradenton,FL,Manatee,1 To 10,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,34205
Health Fit,5880 Rand Blvd Ste 101,Sarasota,FL,Sarasota,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,34238
Balance Health & Fitness,423 N Lemon Ave,Sarasota,FL,Sarasota,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34236
Siesta Key Fitness Ctr,5243 Avenida Navarra,Sarasota,FL,Sarasota,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34242
Select Physical Therapy,5221 Hanff Ln,New Prt Rchy,FL,Pasco,10 To 19,$1 To 2.5 Million,Health Clubs Studios & Gymnasiums,34652
Curves,5670 Palmer Blvd,Sarasota,FL,Sarasota,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34232
Crunch,3762 Bee Ridge Rd,Sarasota,FL,Sarasota,20 To 49,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,34233
20 Minutes To Fitness,6257 Lake Osprey Dr,Sarasota,FL,Manatee,1 To 10,"Less Than $500,000","Athletic Club And Gymnasiums, Membership",34240
Srq Realty,8131 Lakewood Main St Ste 207,Bradenton,FL,Manatee,20 To 49,$2.5 To 5 Million,Health Clubs Studios & Gymnasiums,34202
Flex One Fitness Mjc Inc,10733 Maple Creek Dr Ste 101,New Prt Rchy,FL,Pasco,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34655
Curves,1334 Seven Springs Blvd,New Prt Rchy,FL,Pasco,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34655
Abrakidabra Kids Clinic,3510 Mariner Blvd,Spring Hill,FL,Hernando,1 To 10,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,34609
Anytime Fitness,14223 Powell Rd,Spring Hill,FL,Hernando,10 To 19,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34609
Curves,6118 Sw Highway 200,Ocala,FL,Marion,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34476
Pilates Dynamic Fitness Inc,4141 S Tamiami Trl,Sarasota,FL,Sarasota,1 To 10,Unknown,Fitness & Recreational Sports Centers,34231
Health Center America,5731 Bee Ridge Rd,Sarasota,FL,Sarasota,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34233
Sarasota Y,8301 Potter Park Dr,Sarasota,FL,Sarasota,50 To 99,Unknown,Fitness & Recreational Sports Centers,34238
Fournier & Connoloy,1 S School Ave Ste 700,Sarasota,FL,Sarasota,10 To 19,$1 To 2.5 Million,Physical Fitness Ct,34237
Curves,4081 N Lecanto Hwy,Beverly Hills,FL,Citrus,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34465
Gime Fitness,3031 Landover Blvd,Spring Hill,FL,Hernando,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34608
Leggz Dance Academy Inc,1224 S John Young Pkwy,Kissimmee,FL,Osceola,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34741
"Baylor, Jeffrey E Md",44 W Michigan St,Orlando,FL,Orange,1 To 10,"$500,000 To $1 Million",Physical Fitness Ct,32806
Skyview Golf  Country Club,2100 N Terra Vista Blvd,Hernando,FL,Citrus,10 To 19,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,34442
Curves,5398 S Suncoast Blvd,Homosassa,FL,Citrus,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34446
Better Body Basics,1450 10th St S Unit B4,Safety Harbor,FL,Pinellas,10 To 19,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34695
Curves,33917 Us Highway 19 N,Palm Harbor,FL,Pinellas,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34684
Curves,1710 Citrus Blvd Ste 1,Leesburg,FL,Lake,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34748
Anytime Fitness,10700 Us Highway 441 Ste 106,Leesburg,FL,Lake,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34788
Planet Fitness,3225 Sw Port St Lucie Blvd Ste A,Port Saint Lucie,FL,Saint Lucie,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34953
Shapes Total Fitness,8539 Little Rd,New Port Richey,FL,Pasco,20 To 49,$1 To 2.5 Million,Health Club,34654
Life Center,1705 E Highway 50 Ste A,Clermont,FL,Lake,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34711
Anytime Fitness,17445 Us Highway 192 Ste 18,Clermont,FL,Lake,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34714
Curves,1050 Us Highway 27 Ste 6,Clermont,FL,Lake,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34714
Body Coach,625 Main St Ste 25,Windermere,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34786
Anytime Fitness,7848 Winter Garden Vineland Rd Ste 100,Windermere,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34786
Dermalcare Inc,1460 Glenwick Dr,Windermere,FL,Orange,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34786
Results Fitness,872 Se Federal Hwy,Stuart,FL,Martin,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34994
Martin Memorial Health Ctr,3066 Sw Martin Downs Blvd,Palm City,FL,Martin,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,34990
Planet Fitness,4020 13th St,Saint Cloud,FL,Osceola,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34769
Curves,4227 13th St,Saint Cloud,FL,Osceola,1 To 10,"Less Than $500,000",Health Clubs Studios & Gymnasiums,34769
Every Breath You Take Llc,1241 Se Indian St Ste 103,Stuart,FL,Martin,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,34997
Absolute Fitness,3100 S Congress Ave Ste 4,Boynton Beach,FL,Palm Beach,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33426
Northwest Florida Ballet,310 Perry Ave Se,Fort Walton Beach,FL,Okaloosa,1 To 10,"Less Than $500,000",Aerobic Dance And Exercise Classes,32548
Bella Vita Beach Villas,4701 W Comanche Ave,Tampa,FL,Hillsborough,1 To 10,"Less Than $500,000",Spas,33614
Edward D Jones  Co Lp,3300 Sw 34th Ave Ste 124c,Ocala,FL,Marion,Unknown,Unknown,Health Spas,34474
Bar Method,5734 Sunset Dr,South Miami,FL,Miami-Dade,1 To 10,"Less Than $500,000",Health Club,33143
Total Woman,9900 W Sample Rd Ste 300,Coral Springs,FL,Broward,1 To 10,Unknown,Spas,33065
Belleza,1365 W Donegan Ave,Kissimmee,FL,Osceola,1 To 10,"Less Than $500,000",Physical Fitness Ct,34741
Fitness Factory,2216 Nw 87th Ave,Doral,FL,Miami-Dade,20 To 49,$2.5 To 5 Million,Physical Fitness Ct,33172
Fitness Pro,2104 Gilliam Ln,Tallahassee,FL,Leon,Unknown,Unknown,Health Club,32308
Christian Life Ctr,108 W College Ave,Tallahassee,FL,Leon,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32301
Jazzercise,311 10th Ave N,Jacksonville Beach,FL,Duval,1 To 10,"Less Than $500,000",Exercise Facilities,32250
Powerhouse Gym,9550 Baymeadows Rd,Jacksonville,FL,Duval,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32256
Powerhouse Gym,1102 Dunn Ave,Jacksonville,FL,Duval,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32218
Bray & Gillespie Management,600 N Atlantic Ave,Daytona Beach,FL,Volusia,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32118
Alpha Fitness,1936 Us Highway 1 S,Saint Augustine,FL,Saint Johns,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32086
Planet Fitness,2477 Us Highway 1 S,Saint Augustine,FL,Saint Johns,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,32086
Ace Gymnastics,4431 Eastport Park Way Ste 1,Port Orange,FL,Volusia,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32127
Fitness Together,41 Pga Tour Blvd,Ponte Vedra Beach,FL,Saint Johns,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32082
Planet Fitness,1980 Wells Rd Ste 8,Orange Park,FL,Clay,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32073
Gold's Gym,333 W Granada Blvd Ste 200,Ormond Beach,FL,Volusia,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32174
Powerhouse Gym,1352 Beach Blvd,Jacksonville Beach,FL,Duval,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,32250
Powerhouse Gym,11740 San Jose Blvd # 2,Jacksonville,FL,Duval,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32223
Snap Fitness,13070 Wexford Hollow Rd N,Jacksonville,FL,Duval,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32224
Journeylite-North Fl Weight,8767 Perimeter Park Blvd,Jacksonville,FL,Duval,1 To 10,"Less Than $500,000",Weight Reducing Clubs,32216
Riviera Fitness Ctr,234a Eglin Pkwy Ne,Ft Walton Bch,FL,Okaloosa,10 To 19,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32547
Gold's Gym,12200 Us Highway 98 W,Miramar Beach,FL,Walton,10 To 19,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32550
Gold's Gym,2020 W Pensacola St Ste 30,Tallahassee,FL,Leon,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,32304
Momentum Fitness,2695 Capital Cir Ne # D,Tallahassee,FL,Leon,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32308
Hit Center,9446 Philips Hwy Ste 3,Jacksonville,FL,Duval,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32256
Gold's Gym,1344 W 15th St,Panama City,FL,Bay,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32401
Parrish Health & Fitness Ctr,2210 Cheney Hwy,Titusville,FL,Brevard,50 To 99,$1 To 2.5 Million,Fitness & Recreational Sports Centers,32780
Curves,6800 W Highway 98 Ste A,Pensacola,FL,Escambia,1 To 10,"Less Than $500,000",Exercise Facilities,32506
Snap Fitness,8102 N Davis Hwy Ste 20,Pensacola,FL,Escambia,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32514
Apeiron Pilates Inc,3631 Sw Archer Rd Ste C,Gainesville,FL,Alachua,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32608
Alachua Health & Fitness,15043 Main St,Alachua,FL,Alachua,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,32615
Omni Health & Fitness,5007 N Davis Hwy Ste 8,Pensacola,FL,Escambia,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,32503
Planet Fitness,1569 W Orange Blossom Trl,Apopka,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32712
La Fitness,2536 Enterprise Rd,Orange City,FL,Volusia,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,32763
Mishalz Wellness Ctr,544 N Semoran Blvd,Orlando,FL,Orange,1 To 10,"$500,000 To $1 Million",Physical Fitness Clubs With Training Equipment,32807
Gold's Gym,18840 Us Highway 441,Mount Dora,FL,Lake,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,32757
Y K Kims Tai Kwon Do,1630 E Colonial Dr,Orlando,FL,Orange,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32803
"Baxley, Richard D Md",Po Box 320296,Cocoa Beach,FL,Brevard,1 To 10,$1 To 2.5 Million,Exercise Facilities,32932
Planet Fitness,3005 W Lake Mary Blvd Ste 105,Lake Mary,FL,Seminole,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32746
Planet Fitness,505 S Chickasaw Trl,Orlando,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32825
Planet Fitness,1802 Us Highway 1 Ste 120,Rockledge,FL,Brevard,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32955
Imperial Salon & Spa,3 Suntree Pl Frnt,Melbourne,FL,Brevard,50 To 99,$2.5 To 5 Million,Physical Fitness Clubs With Training Equipment,32940
Planet Fitness,5130 Conway Rd,Orlando,FL,Orange,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32812
Gold's Gym,7733 Turkey Lake Rd,Orlando,FL,Orange,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32819
Anytime Fitness,9360 90th Ave Ste 105,Sebastian,FL,Indian River,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,32958
"Marshaus, Laura A",630 12th St,Vero Beach,FL,Indian River,1 To 10,Unknown,Fitness & Recreational Sports Centers,32960
Jungle Club,1060 6th Ave,Vero Beach,FL,Indian River,50 To 99,$1 To 2.5 Million,Physical Fitness Clubs With Training Equipment,32960
Stress Management Ctr,49 S Atlantic Ave,Cocoa Beach,FL,Brevard,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32931
Planet Fitness,840 N Apollo Blvd,Melbourne,FL,Brevard,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,32935
Santa Maria Spa,1643 Brickell Ave Ste 501,Miami,FL,Miami-Dade,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33129
La Fitness,2633 N University Dr,Coral Springs,FL,Broward,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,33065
Pro-Health & Fitness Ctr,611 Sheridan Rd,Melbourne,FL,Brevard,50 To 99,Unknown,Fitness & Recreational Sports Centers,32901
Essential Spa,1705 Berglund Ln,Melbourne,FL,Brevard,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,32940
24 Hour Fitness,8333 Pines Blvd,Pembroke Pines,FL,Broward,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,33024
Youfit Pembroke Pines,9057 Taft St,Pembroke Pines,FL,Broward,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33024
Mariner's Hospital Wellness,91550 Overseas Hwy Ste 204,Tavernier,FL,Monroe,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,33070
Gold's Gym,16357 Nw 57th Ave,Hialeah,FL,Miami-Dade,10 To 19,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,33014
Lady Of America Fitness Ctr,6625 Miami Lakes Dr E Ste 100,Hialeah,FL,Miami-Dade,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33014
Tom Drum Inc,2700 Ne 8th St,Pompano Beach,FL,Broward,1 To 10,"$500,000 To $1 Million",Exercise Facilities,33062
Sarah Jane Spa,1111 Sw 8th St Ste 202,Miami,FL,Miami-Dade,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33130
Sports Club/La,1441 Brickell Ave Fl 4,Miami,FL,Miami-Dade,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33131
Premier Health & Fitness,1250 E Hallandale Beach Blvd,Hallandale,FL,Broward,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,33009
Coffeemill Dance Studio,804 White St,Key West,FL,Monroe,20 To 49,$1 To 2.5 Million,Physical Fitness Clubs With Training Equipment,33040
Lady Of America Fitness Ctr,8247 W Flagler St,Miami,FL,Miami-Dade,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33144
Li Hong Xia Day Spa,12333 Nw 18th St Ste 3b,Pembroke Pines,FL,Broward,1 To 10,"Less Than $500,000",Physical Fitness Clubs With Training Equipment,33026
Memorial Hospital West Fitness,703 N Flamingo Rd,Pembroke Pines,FL,Broward,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,33028
Equinox Fitness Club,550 Collins Ave,Miami Beach,FL,Miami-Dade,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,33139
Forrest Pilates,936 Nw 9th Ct,Miami,FL,Miami-Dade,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,33136
